sku_id,sku_name,days_of_supply,quantity_on_hand,carrying_cost_usd,recommended_markdown_pct,estimated_recovery_usd,action
SKU0195,Acetate Oval 195,137.73333333333332,4565,11588.86,15.0,285524.32,markdown
SKU0151,Aluminium Oval 151,136.2,1331,9774.34,15.0,206372.95,markdown
SKU0269,Wood Square 269,134.53333333333333,1267,2385.18,15.0,57037.43,markdown
SKU0256,Acetate Aviator 256,132.66666666666666,1566,15085.08,15.0,287180.83,markdown
SKU0215,Tr90 Wayfarer 215,131.73333333333332,1658,13740.63,15.0,329030.68,markdown
SKU0267,Acetate Cat Eye 267,129.6,1186,4605.9,15.0,72966.28,markdown
SKU0276,Acetate Rectangle 276,127.86666666666666,1094,7603.67,15.0,120825.63,markdown
SKU0224,Aluminium Cat Eye 224,127.26666666666667,1523,46774.74,15.0,834224.85,markdown
SKU0046,Stainless_Steel Round 46,126.26666666666667,1095,17919.13,15.0,292391.39,markdown
SKU0148,Aluminium Round 148,122.0,3568,19999.76,15.0,423530.52,markdown
SKU0135,Acetate Oversized 135,120.86666666666666,1312,3564.73,15.0,97751.74,markdown
SKU0300,Stainless_Steel Square 300,120.53333333333333,1228,7209.14,15.0,146606.93,markdown
