sku_id,store_id,quantity_on_hand,reorder_point,quantity_on_order,days_of_supply,last_restocked_date,warehouse_location
SKU0001,STORE01,149,90,0,74,2024-11-27,WH-C07
SKU0001,STORE02,197,90,0,98,2024-11-21,WH-C17
SKU0001,STORE03,20,90,60,10,2024-11-18,WH-A14
SKU0001,STORE04,258,90,0,128,2024-10-18,WH-A07
SKU0001,STORE05,44,90,0,22,2024-12-10,WH-A15
SKU0001,STORE06,68,90,0,34,2024-11-02,WH-B14
SKU0001,STORE07,90,90,0,45,2024-12-10,WH-C19
SKU0001,STORE08,100,90,0,50,2024-12-07,WH-C18
SKU0001,STORE09,216,90,0,107,2024-10-05,WH-A05
SKU0001,STORE10,304,90,0,151,2024-12-28,WH-B06
SKU0001,STORE11,155,90,0,77,2024-11-19,WH-A08
SKU0001,STORE12,232,90,0,115,2024-10-23,WH-C13
SKU0001,STORE13,195,90,0,97,2024-12-08,WH-C14
SKU0001,STORE14,16,90,60,8,2024-12-12,WH-C18
SKU0001,STORE15,314,90,0,156,2024-10-29,WH-C15
SKU0003,STORE01,62,19,0,141,2024-10-24,WH-B02
SKU0003,STORE02,4,19,13,10,2024-10-11,WH-C01
SKU0003,STORE03,54,19,0,124,2024-12-11,WH-B01
SKU0003,STORE04,3,19,13,9,2024-10-23,WH-C12
SKU0003,STORE05,142,19,0,321,2024-10-06,WH-B11
SKU0003,STORE06,30,19,0,69,2024-11-29,WH-A12
SKU0003,STORE07,106,19,0,240,2024-12-28,WH-B05
SKU0003,STORE08,52,19,0,118,2024-11-22,WH-C05
SKU0003,STORE09,3,19,13,7,2024-11-20,WH-B08
SKU0003,STORE10,47,19,0,107,2024-11-30,WH-C10
SKU0003,STORE11,71,19,0,161,2024-12-12,WH-C04
SKU0003,STORE12,25,19,0,58,2024-10-20,WH-C17
SKU0003,STORE13,8,19,13,20,2024-12-08,WH-A10
SKU0003,STORE14,12,19,0,29,2024-12-30,WH-C05
SKU0003,STORE15,25,19,0,58,2024-11-28,WH-C19
SKU0004,STORE01,100,29,0,151,2024-12-26,WH-A04
SKU0004,STORE02,108,29,0,163,2024-10-31,WH-A06
SKU0004,STORE03,4,29,19,7,2024-12-08,WH-C17
SKU0004,STORE04,90,29,0,136,2024-10-03,WH-A18
SKU0004,STORE05,67,29,0,101,2024-10-28,WH-A15
SKU0004,STORE06,89,29,0,134,2024-10-17,WH-C12
SKU0004,STORE07,15,29,0,23,2024-12-17,WH-C03
SKU0004,STORE08,207,29,0,311,2024-12-16,WH-C12
SKU0004,STORE09,7,29,19,11,2024-10-09,WH-C18
SKU0004,STORE10,239,29,0,360,2024-11-15,WH-C01
SKU0004,STORE11,235,29,0,354,2024-10-11,WH-C09
SKU0004,STORE12,27,29,0,41,2024-11-26,WH-A19
SKU0004,STORE13,119,29,0,180,2024-12-07,WH-B03
SKU0004,STORE14,54,29,0,82,2024-11-14,WH-B10
SKU0004,STORE15,7,29,19,12,2024-10-23,WH-C18
SKU0006,STORE01,75,22,0,154,2024-12-27,WH-C02
SKU0006,STORE02,167,22,0,342,2024-11-14,WH-C13
SKU0006,STORE03,3,22,14,7,2024-11-03,WH-B15
SKU0006,STORE04,35,22,0,73,2024-11-11,WH-A13
SKU0006,STORE05,165,22,0,336,2024-12-08,WH-B10
SKU0006,STORE06,4,22,14,9,2024-12-19,WH-B08
SKU0006,STORE07,73,22,0,149,2024-11-24,WH-A10
SKU0006,STORE08,154,22,0,315,2024-11-07,WH-A13
SKU0006,STORE09,69,22,0,142,2024-10-04,WH-C11
SKU0006,STORE10,59,22,0,122,2024-11-21,WH-B02
SKU0006,STORE11,83,22,0,171,2024-11-26,WH-B11
SKU0006,STORE12,55,22,0,114,2024-11-22,WH-C14
SKU0006,STORE13,12,22,0,25,2024-10-29,WH-B03
SKU0006,STORE14,4,22,14,10,2024-11-24,WH-C14
SKU0006,STORE15,42,22,0,87,2024-12-22,WH-C19
SKU0009,STORE01,339,82,0,185,2024-12-22,WH-B15
SKU0009,STORE02,111,82,0,61,2024-11-06,WH-A02
SKU0009,STORE03,77,82,0,42,2024-11-27,WH-A13
SKU0009,STORE04,18,82,55,10,2024-10-30,WH-A14
SKU0009,STORE05,280,82,0,153,2024-11-08,WH-C04
SKU0009,STORE06,321,82,0,175,2024-12-29,WH-B05
SKU0009,STORE07,232,82,0,127,2024-12-10,WH-C11
SKU0009,STORE08,42,82,0,23,2024-12-16,WH-A03
SKU0009,STORE09,78,82,0,43,2024-10-20,WH-B03
SKU0009,STORE10,223,82,0,122,2024-10-30,WH-B10
SKU0009,STORE11,227,82,0,124,2024-11-08,WH-C10
SKU0009,STORE12,71,82,0,39,2024-12-08,WH-A17
SKU0009,STORE13,234,82,0,128,2024-12-15,WH-C08
SKU0009,STORE14,297,82,0,162,2024-12-20,WH-C07
SKU0009,STORE15,275,82,0,150,2024-12-28,WH-C05
SKU0010,STORE01,57,23,0,111,2024-10-28,WH-A08
SKU0010,STORE02,124,23,0,239,2024-12-03,WH-B05
SKU0010,STORE03,86,23,0,166,2024-10-08,WH-C16
SKU0010,STORE04,154,23,0,298,2024-11-25,WH-A18
SKU0010,STORE05,27,23,0,53,2024-11-07,WH-A09
SKU0010,STORE06,3,23,15,6,2024-12-05,WH-B05
SKU0010,STORE07,3,23,15,6,2024-11-07,WH-B14
SKU0010,STORE08,58,23,0,113,2024-10-21,WH-A16
SKU0010,STORE09,45,23,0,87,2024-11-19,WH-B02
SKU0010,STORE10,11,23,0,22,2024-11-09,WH-A05
SKU0010,STORE11,4,23,15,9,2024-12-24,WH-B17
SKU0010,STORE12,49,23,0,95,2024-10-08,WH-B15
SKU0010,STORE13,9,23,15,19,2024-11-18,WH-B04
SKU0010,STORE14,2,23,15,4,2024-12-22,WH-B01
SKU0010,STORE15,76,23,0,148,2024-10-06,WH-C14
SKU0011,STORE01,3,27,18,5,2024-11-08,WH-A10
SKU0011,STORE02,35,27,0,57,2024-12-03,WH-C04
SKU0011,STORE03,36,27,0,59,2024-12-01,WH-B13
SKU0011,STORE04,64,27,0,104,2024-10-17,WH-C13
SKU0011,STORE05,144,27,0,235,2024-12-03,WH-B01
SKU0011,STORE06,84,27,0,138,2024-12-05,WH-A03
SKU0011,STORE07,70,27,0,114,2024-11-08,WH-B14
SKU0011,STORE08,7,27,18,12,2024-12-27,WH-B03
SKU0011,STORE09,7,27,18,12,2024-11-19,WH-A11
