return_id,sku_id,transaction_id,return_date,return_reason,refund_amount,restocked
RET000001,SKU0086,TXN0021333,2023-07-08,quality_issue,122.75,True
RET000002,SKU0259,TXN0065163,2024-01-08,quality_issue,77.97,False
RET000003,SKU0156,TXN0038707,2024-08-22,defective,263.99,True
RET000004,SKU0145,TXN0036690,2024-10-15,wrong_size,125.85,True
RET000005,SKU0055,TXN0011833,2024-04-26,defective,298.05,True
RET000006,SKU0039,TXN0007927,2023-08-24,wrong_size,51.54,True
RET000007,SKU0295,TXN0074961,2023-09-01,wrong_size,227.38,False
RET000008,SKU0289,TXN0072923,2024-06-05,wrong_item,133.42,True
RET000009,SKU0197,TXN0050555,2023-04-25,style_preference,151.8,True
RET000010,SKU0231,TXN0058931,2023-11-03,wrong_size,87.93,True
RET000011,SKU0014,TXN0002991,2023-08-25,style_preference,311.71,False
RET000012,SKU0150,TXN0038029,2024-06-20,wrong_item,89.8,False
RET000013,SKU0280,TXN0070292,2023-04-05,defective,307.83,True
RET000014,SKU0117,TXN0028920,2024-01-02,quality_issue,235.72,False
RET000015,SKU0280,TXN0070491,2024-08-13,wrong_size,317.18,True
RET000016,SKU0116,TXN0028384,2023-06-25,quality_issue,270.01,False
RET000017,SKU0072,TXN0015952,2023-05-21,style_preference,147.37,True
RET000018,SKU0224,TXN0057271,2025-01-24,wrong_item,942.29,True
RET000019,SKU0298,TXN0075773,2024-02-20,wrong_size,370.73,True
RET000020,SKU0126,TXN0031986,2024-01-09,wrong_item,215.23,False
RET000021,SKU0248,TXN0063161,2024-01-05,defective,114.74,True
RET000022,SKU0299,TXN0076139,2023-08-05,style_preference,481.89,False
RET000023,SKU0001,TXN0000544,2024-12-21,wrong_size,431.67,True
RET000024,SKU0107,TXN0026398,2023-04-11,quality_issue,126.34,False
RET000025,SKU0089,TXN0022195,2023-03-20,wrong_item,57.33,False
RET000026,SKU0133,TXN0033769,2023-11-13,wrong_size,189.67,False
RET000027,SKU0185,TXN0046495,2023-08-05,quality_issue,245.45,True
